specimen,bone,sex,age,side_of_body,plane_of_picture,orientation
Halichoerus grypus_1,humerus,-,-,left,transverse,dorsal
Halichoerus grypus_1,humerus,-,-,left,coronal,anterior
Halichoerus grypus_1,humerus,-,-,right,transverse,dorsal
Halichoerus grypus_1,humerus,-,-,right,transverse,ventral
Halichoerus grypus_1,humerus,-,-,right,coronal,anterior
Halichoerus grypus_1,ulna (incomplete),-,-,right,transverse,dorsal
Halichoerus grypus_1,ulna (incomplete),-,-,right,transverse,ventral
Halichoerus grypus_2,ulna,-,-,left,transverse,dorsal
Halichoerus grypus_2,ulna,-,-,left,transverse,ventral
Halichoerus grypus_2,radius,-,-,right,transverse,dorsal
Halichoerus grypus_2,radius,-,-,right,transverse,ventral
Halichoerus grypus_2,humerus,-,-,-,transverse,ventral
Halichoerus grypus_2,humerus,-,-,-,transverse,dorsal
Halichoerus grypus_2,humerus,-,-,-,coronal,anterior
Halichoerus grypus_3,scapula,-,subadult,right,transverse,dorsal
Halichoerus grypus_3,scapula,-,subadult,right,transverse,ventral
Halichoerus grypus_3,scapula,male,adult,right,transverse,dorsal
Halichoerus grypus_3,scapula,male,adult,right,transverse,ventral
Halichoerus grypus_3,scapula,-,-,right,transverse,dorsal
Halichoerus grypus_3,scapula,-,-,right,transverse,ventral
Halichoerus grypus_3,scapula,-,adult,left,transverse,dorsal
Halichoerus grypus_3,scapula,-,adult,left,transverse,ventral
Halichoerus grypus_3,humerus,female,adult,left,transverse,ventral
Halichoerus grypus_3,humerus,female,adult,left,transverse,dorsal
Halichoerus grypus_3,humerus,female,adult,left,coronal,anterior
Halichoerus grypus_3,humerus,female,-,right,transverse,ventral
Halichoerus grypus_3,humerus,female,-,right,transverse,dorsal
Halichoerus grypus_3,humerus,female,-,right,coronal,anterior
Halichoerus grypus_4-1,scapula,male,-,right,transverse,dorsal
Halichoerus grypus_4-1,scapula,male,-,right,transverse,ventral
Halichoerus grypus_4-2,scapula,-,-,right,transverse,dorsal
Halichoerus grypus_4-2,scapula,-,-,right,transverse,ventral
Halichoerus grypus_4-3,humerus,-,-,right,transverse,ventral
Halichoerus grypus_4-3,humerus,-,-,right,transverse,dorsal
Halichoerus grypus_4-3,humerus,-,-,right,coronal,anterior
Halichoerus grypus_4-4,ulna (incomplete),male,immature,left,transverse,dorsal
Halichoerus grypus_4-4,ulna (incomplete),male,immature,left,transverse,ventral
Halichoerus grypus_4-4,ulna (incomplete),male,immature,right,transverse,dorsal
Halichoerus grypus_4-4,ulna (incomplete),male,immature,right,transverse,ventral
Halichoerus grypus_4-4,humerus,male,immature,right,transverse,ventral
Halichoerus grypus_4-4,humerus,male,immature,right,transverse,dorsal
Halichoerus grypus_4-4,humerus,male,immature,right,coronal,anterior
Halichoerus grypus_4-4,humerus,male,immature,left,transverse,ventral
Halichoerus grypus_4-4,humerus,male,immature,left,transverse,dorsal
Halichoerus grypus_4-4,humerus,male,immature,left,coronal,anterior
Halichoerus grypus_5,scapula,female,-,left,transverse,dorsal
Halichoerus grypus_5,scapula,female,-,left,transverse,ventral
Halichoerus grypus_5,scapula,female,-,right,transverse,dorsal
Halichoerus grypus_5,scapula,female,-,right,transverse,ventral
Halichoerus grypus_5,ulna,female,-,right,transverse,dorsal
Halichoerus grypus_5,ulna,female,-,right,transverse,ventral
Halichoerus grypus_5,ulna,female,-,left,transverse,dorsal
Halichoerus grypus_5,ulna,female,-,left,transverse,ventral
Halichoerus grypus_5,humerus,female,-,right,transverse,ventral
Halichoerus grypus_5,humerus,female,-,right,transverse,dorsal
Halichoerus grypus_5,humerus,female,-,right,coronal,anterior
Odobenus sp.,ulna,-,-,right,transverse,dorsal
Odobenus sp.,ulna,-,-,right,transverse,ventral
Odobenus sp.,radius,-,-,right,transverse,ventral
Odobenus sp.,radius,-,-,right,transverse,dorsal
Odobenus sp.,radius,-,-,right,transverse,dorsal
Odobenus sp.,radius,-,-,right,coronal,posterior
Phoca vitulina_1,forelimb (complete),male,-,left,transverse,dorsal
Phoca vitulina_1,ulna,male,-,left,transverse,dorsal
Phoca vitulina_1,ulna,male,-,left,transverse,ventral
Phoca vitulina_1,radius,male,-,left,transverse,dorsal
Phoca vitulina_1,radius,male,-,left,transverse,ventral
Phoca vitulina_1,humerus,male,-,left,transverse,-
Phoca vitulina_1,humerus,male,-,left,transverse,ventral
Phoca vitulina_1,humerus,male,-,left,coronal,anterior
Phoca vitulina_1,humerus,male,-,left,coronal,posterior
Phoca vitulina_1,scapula,male,-,left,transverse,dorsal
Phoca vitulina_1,scapula,male,-,left,transverse,ventral
Phoca vitulina_1,forelimb (incomplete),male,-,right,transverse,dorsal
Phoca vitulina_1,scapula,male,-,right,transverse,dorsal
Phoca vitulina_1,scapula,male,-,right,transverse,ventral
Phoca vitulina_1,ulna,male,-,right,transverse,dorsal
Phoca vitulina_1,ulna,male,-,right,transverse,ventral
Phoca vitulina_1,humerus,male,-,right,transverse,dorsal
Phoca vitulina_1,humerus,male,-,right,transverse,ventral
Phoca vitulina_1,humerus,male,-,right,coronal,anterior
Phoca vitulina_2,radius,-,juvenile,right,transverse,dorsal
Phoca vitulina_2,radius,-,juvenile,right,transverse,ventral
Phoca vitulina_3-1,scapula,-,-,right,transverse,dorsal
Phoca vitulina_3-1,scapula,-,-,right,transverse,ventral
Phoca vitulina_3-2,radius,-,-,left,transverse,dorsal
Phoca vitulina_3-2,radius,-,-,left,transverse,ventral
