"specimen","picture_number","link_path"
"A. pusilus_3_box",1804,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\A. pusilus_3_box\IMG_1804.JPG"
"A. pusilus_3_box",1813,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\A. pusilus_3_box\IMG_1813.JPG"
"A. pusilus_3_box",1814,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\A. pusilus_3_box\IMG_1814.JPG"
"A. pusilus_3_box",1812,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\A. pusilus_3_box\IMG_1812.JPG"
"A. pusilus_3_box",1810,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\A. pusilus_3_box\IMG_1810.JPG"
"A. pusilus_3_box",1811,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\A. pusilus_3_box\IMG_1811.JPG"
"A. pusilus_3_box",1815,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\A. pusilus_3_box\IMG_1815.JPG"
"A. pusilus_3_box",1816,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\A. pusilus_3_box\IMG_1816.JPG"
"A. pusilus_3_box",1817,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\A. pusilus_3_box\IMG_1817.JPG"
"A. pusilus_3_box",1818,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\A. pusilus_3_box\IMG_1818.JPG"
"A. pusilus_3_box",1819,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\A. pusilus_3_box\IMG_1819.JPG"
"A. pusilus_3_box",1820,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\A. pusilus_3_box\IMG_1820.JPG"
"A. pusilus_3_box",1823,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\A. pusilus_3_box\IMG_1823.JPG"
"A. pusilus_3_box",1822,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\A. pusilus_3_box\IMG_1822.JPG"
"A. pusilus_3_box",1821,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\A. pusilus_3_box\IMG_1821.JPG"
"A. pusilus_3_box",1805,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\A. pusilus_3_box\IMG_1805.JPG"
"A. pusilus_3_box",1807,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\A. pusilus_3_box\IMG_1807.JPG"
"A. pusilus_3_box",1806,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\A. pusilus_3_box\IMG_1806.JPG"
"A. pusilus_3_box",1824,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\A. pusilus_3_box\IMG_1824.JPG"
"A. pusilus_3_box",1825,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\A. pusilus_3_box\IMG_1825.JPG"
"A. pusilus_3_box",1826,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\A. pusilus_3_box\IMG_1826.JPG"
"A. pusilus_3_box",1827,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\A. pusilus_3_box\IMG_1827.JPG"
"A. pusilus_3_box",1828,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\A. pusilus_3_box\IMG_1828.JPG"
"A. pusilus_3_box",1829,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\A. pusilus_3_box\IMG_1829.JPG"
"A. pusilus_3_box",1809,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\A. pusilus_3_box\IMG_1809.JPG"
"A. pusilus_3_box",1808,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\A. pusilus_3_box\IMG_1808.JPG"
"A. pusilus_3_box",1840,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\A. pusilus_3_box\IMG_1840.JPG"
"A. pusilus_3_box",1841,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\A. pusilus_3_box\IMG_1841.JPG"
"A. pusilus_3_box",1830,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\A. pusilus_3_box\IMG_1830.JPG"
"A. pusilus_3_box",1831,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\A. pusilus_3_box\IMG_1831.JPG"
"A. pusilus_3_box",1832,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\A. pusilus_3_box\IMG_1832.JPG"
"A. pusilus_3_box",1833,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\A. pusilus_3_box\IMG_1833.JPG"
"A. pusilus_3_box",1834,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\A. pusilus_3_box\IMG_1834.JPG"
"A. pusilus_3_box",1839,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\A. pusilus_3_box\IMG_1839.JPG"
"A. pusilus_3_box",1836,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\A. pusilus_3_box\IMG_1836.JPG"
"A. pusilus_3_box",1835,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\A. pusilus_3_box\IMG_1835.JPG"
"A. pusilus_3_box",1837,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\A. pusilus_3_box\IMG_1837.JPG"
"A. pusilus_3_box",1838,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\A. pusilus_3_box\IMG_1838.JPG"
"C. cristata",1860,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\C. cristata\IMG_1860.JPG"
"C. cristata",1861,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\C. cristata\IMG_1861.JPG"
"C. cristata",1862,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\C. cristata\IMG_1862.JPG"
"C. cristata",1863,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\C. cristata\IMG_1863.JPG"
